,1001,2001,3001,4001,5001,6001,7001,8001,9001,10001,11001,12001,13001,14001,15001,16001,17001,18001,19001,20001,21001,22001,23001,24001,25001,26001,27001,28001,29001,30001,31001,32001,33001,34001,35001,36001,37001,38001,39001,40001,41001,42001,43001,44001,45001,46001,47001,48001,49001,50001,51001,52001,53001,54001,55001,56001,57001,58001,59001,60001,61001,62001,63001,64001,65001,66001,67001,68001,69001,70001,71001,72001,73001,74001,75001,76001,77001,78001,79001,80001,81001,82001,83001,84001,85001,86001,87001,88001,89001,90001,91001,92001,93001,94001,95001,96001,97001,98001,99001,100001
1,6069,13518,21496,29805,38376,47141,56071,65147,74358,83668,93076,102587,112182,121828,131572,141370,151230,161174,171135,181177,191276,201384,211555,221792,232036,242353,252696,263063,273474,283925,294398,304908,315467,326022,336645,347279,357926,368610,379345,390062,400814,411632,422405,433263,444132,454986,465916,476837,487769,498725,509731,520734,531742,542800,553860,564928,576034,587138,598264,609422,620582,631760,642990,654170,665412,676646,687914,699172,710468,721780,733072,744444,755758,767124,778491,789895,801295,812717,824111,835548,847026,858458,869964,881469,892923,904435,915980,927512,939034,950630,962179,973729,985332,996960,1008530,1020181,1031773,1043451,1055114,1066750
2,21470,52596,88053,126513,167233,209732,253886,299444,346117,393985,442783,492492,543250,594368,646522,699377,752741,806772,861448,916687,972359,1028582,1085373,1142501,1200279,1258396,1316769,1375654,1435060,1494616,1554714,1615142,1675762,1736848,1798507,1859980,1922367,1984513,2047207,2110075,2173341,2236621,2300544,2364602,2428927,2493439,2558414,2623232,2688537,2754255,2819755,2885960,2952107,3018308,3085226,3151850,3218822,3286337,3353734,3421235,3489231,3557226,3625314,3693960,3762772,3830941,3900346,3969288,4038630,4108337,4177721,4247509,4317765,4388051,4458192,4528702,4599308,4670004,4741026,4811997,4883322,4954787,5026436,5097830,5169699,5241771,5313861,5386253,5458470,5531094,5603793,5676463,5749284,5822687,5895363,5968884,6042253,6116016,6189425,6263732
3,49487,135046,239595,357623,486683,624616,770519,923243,1082406,1247168,1417115,1592006,1771462,1954883,2142543,2333923,2528914,2727322,2928856,3133564,3341533,3551895,3765294,3981410,4200016,4421289,4644572,4870599,5098901,5329076,5561688,5796234,6032911,6271511,6512242,6754468,6998728,7244812,7492741,7742131,7993517,8246510,8501299,8757597,9015179,9274145,9535654,9797744,10061214,10326518,10593357,10861326,11130227,11400983,11673813,11946543,12221086,12497497,12774183,13052093,13331782,13612656,13894723,14177991,14462203,14746702,15033747,15321657,15609945,15900253,16190473,16482300,16775119,17069195,17364123,17660476,17957560,18255387,18554545,18853534,19154827,19456503,19759402,20063117,20367658,20673300,20979623,21287379,21594638,21904191,22214230,22524498,22835977,23149047,23461053,23776055,24089571,24406772,24723138,25040264
4,82995,254280,479520,745942,1046633,1376447,1732372,2111410,2512156,2932312,3370871,3826689,4298703,4785189,5286767,5802178,6330660,6872092,7425348,7989589,8566331,9152724,9750320,10358035,10975142,11603037,12239304,12884170,13538571,14201488,14872772,15552123,16239813,16934989,17638068,18348985,19066196,19791721,20523529,21261972,22007690,22760838,23519656,24285553,25057899,25834991,26620459,27410793,28206391,29008644,29816950,30631274,31449618,32275147,33105401,33940193,34781731,35627832,36478994,37334990,38196028,39063189,39935482,40811145,41693064,42576835,43468689,44364211,45263870,46168283,47076122,47990444,48907932,49829946,50756094,51687874,52622492,53561914,54504893,55451051,56404332,57358020,58318559,59282285,60249472,61220813,62195035,63175160,64156412,65145357,66135511,67127178,68124329,69127512,70131903,71140304,72150745,73167714,74186986,75208850
5,103591,362067,731087,1190538,1727527,2333587,3001983,3727863,4507125,5335613,6211640,7131737,8094136,9095830,10136879,11214919,12327909,13476964,14657670,15870431,17114980,18389319,19692128,21025590,22385156,23772558,25186591,26625997,28091096,29580337,31094918,32631815,34194319,35776727,37382678,39012775,40661678,42333166,44025192,45737527,47470229,49223400,50994448,52787803,54598213,56426368,58276515,60142555,62026576,63927514,65847888,67785163,69739963,71709877,73697865,75701330,77722124,79757899,81810957,83878834,85961602,88062862,90177605,92305308,94451590,96610546,98784361,100971614,103175570,105392713,107623468,109871174,112129017,114401777,116687655,118989331,121301930,123627970,125968449,128320302,130685730,133066088,135457067,137860962,140275130,142704831,145146123,147600249,150065223,152543430,155032253,157532126,160046037,162572063,165108555,167655648,170214550,172787201,175368183,177960355
6,98883,400536,872736,1494396,2250246,3129937,4124066,5225852,6429833,7729754,9121737,10602939,12168146,13815747,15542581,17345311,19222283,21171659,23191798,25279276,27433821,29652736,31935595,34280441,36686673,39151485,41675902,44257751,46894983,49588566,52334691,55135492,57989202,60894140,63848694,66855634,69910262,73016127,76168146,79368607,82612661,85908172,89244992,92627737,96056340,99526753,103041490,106599975,110200298,113841644,117526703,121251383,125015847,128822207,132668095,136552886,140477968,144438546,148440835,152480766,156556192,160670853,164822817,169007548,173229391,177493399,181788796,186116754,190485084,194883584,199316972,203788668,208291943,212829430,217400939,222004434,226640079,231309685,236011109,240746807,245512207,250312518,255141442,260005849,264894127,269819027,274773068,279757435,284773276,289820267,294894462,299998725,305133179,310297884,315492978,320713854,325965479,331247990,336555167,341891136
7,72521,347210,824109,1492249,2341712,3364539,4552010,5899066,7398296,9045805,10836600,12766401,14831287,17028653,19355033,21806367,24380714,27074833,29886845,32815925,35858596,39010964,42274565,45645342,49121905,52703395,56388213,60174608,64059205,68045790,72124748,76306303,80576697,84943846,89402690,93954141,98595611,103325127,108146128,113053601,118045274,123126163,128290378,133538218,138870525,144285147,149778017,155357195,161014978,166750136,172566889,178460192,184429732,190480592,196605671,202805762,209080126,215429663,221855664,228354522,234925432,241567198,248282720,255068722,261923023,268852198,275848808,282914369,290051801,297253250,304527050,311869622,319274948,326746623,334289442,341892354,349563891,357304196,365101891,372969644,380901172,388895330,396951771,405075236,413258402,421502899,429809952,438177752,446606456,455102139,463650228,472262974,480934602,489667214,498463744,507314896,516225081,525191841,534217106,543303606
8,40657,236419,618535,1193181,1961198,2921108,4070633,5407745,6927971,8630520,10511843,12568488,14799278,17201424,19772204,22510418,25412145,28476619,31701922,35085589,38626093,42322451,46171664,50173184,54324214,58625026,63073061,67667664,72403933,77286136,82310858,87476016,92778892,98221080,103801304,109517275,115369165,121353068,127473607,133722397,140106230,146614655,153255738,160027884,166923561,173949789,181097882,188372467,195771461,203292855,210939199,218704486,226593975,234602447,242731079,250981728,259345503,267828423,276430308,285148280,293981352,302929329,311991910,321172846,330464744,339864347,349381168,359007012,368743699,378594920,388554787,398627171,408804319,419092324,429490311,439991260,450599741,461315847,472138645,483064409,494099610,505238079,516480855,527827648,539280817,550831175,562490367,574249144,586108609,598071292,610132181,622297196,634562624,646922637,659385982,671950399,684612775,697370999,710229211,723184863
9,17126,125657,367871,763421,1322557,2051642,2955704,4035548,5295603,6735407,8355415,10156666,12139134,14302605,16645541,19169101,21874476,24756445,27819295,31059557,34475937,38071270,41840638,45787212,49908360,54204449,58672176,63312801,68126899,73109872,78266847,83588082,89083825,94750275,100580547,106575293,112740163,119071532,125565862,132225865,139051858,146039568,153190070,160499871,167973929,175609684,183405479,191359020,199472470,207748218,216179234,224766206,233511315,242413258,251468157,260681120,270050048,279574558,289248373,299077358,309061892,319193219,329479604,339916159,350506822,361243272,372133883,383173297,394357355,405697400,417176573,428804154,440586209,452514515,464586207,476806292,489171224,501674068,514329606,527126120,540070961,553153763,566385045,579756194,593269825,606922722,620720881,634656440,648737584,662955006,677317049,691818860,706459705,721237090,736155041,751209473,766402635,781731208,797206144,812812459
10,5357,51637,172317,388513,714754,1161951,1737653,2448417,3299963,4296291,5441050,6737148,8186955,9793752,11557772,13481282,15567858,17815520,20226047,22803038,25544430,28452220,31527106,34768967,38178649,41755621,45502785,49417490,53504899,57759194,62183741,66777161,71542799,76477678,81584194,86860076,92308140,97924519,103709692,109670274,115799087,122097424,128570134,135209479,142020283,149000617,156152861,163474778,170968613,178629912,186459094,194461055,202634836,210975297,219484052,228160535,237009490,246029870,255214256,264570209,274096801,283785967,293643900,303672701,313868822,324234982,334762128,345465349,356332830,367366297,378568823,389928168,401464103,413160244,425026554,437057506,449259460,461621474,474150416,486845689,499705125,512729171,525915938,539268232,552785819,566471334,580319168,594327469,608505214,622836940,637337087,652002115,666827251,681817542,696966863,712283508,727760379,743396581,759199998,775158123
11,1192,15922,62451,155096,306631,525545,821094,1199516,1666950,2228741,2889071,3652675,4523627,5504853,6598621,7809239,9137259,10587993,12161319,13858817,15683828,17638483,19724824,21940671,24292242,26775636,29396803,32156311,35052279,38088702,41266512,44586215,48046193,51647917,55395353,59289129,63328017,67512128,71843560,76322598,80949578,85723031,90648846,95723698,100948747,106325440,111851995,117532040,123362906,129345551,135480987,141770416,148215987,154812119,161566839,168473453,175534066,182749325,190121458,197649285,205330546,213173897,221169143,229326206,237636794,246105998,254729793,263511968,272454342,281552816,290812827,300229892,309804355,319535009,329426491,339476430,349686163,360059577,370587290,381276362,392121416,403130849,414293713,425619161,437107367,448755824,460565788,472535444,484667426,496953648,509406350,522016879,534787768,547719728,560809361,574063562,587480303,601058820,614793880,628689207
12,137,3484,16852,47715,102651,187121,307923,469160,674995,931045,1240330,1605670,2031670,2521222,3077238,3701815,4396825,5166189,6011933,6936814,7941079,9028689,10199386,11455922,12800942,14235320,15759655,17377134,19088384,20894412,22797285,24798508,26897463,29097431,31397742,33800495,36305757,38916627,41635558,44458134,47389095,50429138,53577366,56833758,60203112,63684698,67276603,70983594,74802176,78739298,82789960,86957754,91238905,95639179,100157993,104796704,109553966,114430716,119428702,124545100,129783901,135146957,140631712,146236437,151967146,157822379,163803660,169908810,176138121,182491587,188972592,195585446,202321424,209185561,216174903,223297315,230545387,237926583,245435899,253075408,260841906,268740734,276773857,284932931,293228203,301651997,310206838,318897460,327716604,336675173,345767832,354991822,364351195,373845153,383474979,393234496,403132311,413163608,423329770,433639317
13,14,579,3371,11113,25822,51565,89378,143944,215788,307927,424015,565212,732559,929022,1157686,1420015,1716785,2049863,2420973,2832070,3285462,3782246,4323646,4910433,5544378,6227564,6960250,7743074,8580145,9470023,10414482,11416032,12474548,13589868,14766540,16001364,17297151,18655412,20076056,21560103,23110230,24726444,26408755,28159470,29977141,31865023,33822332,35848484,37948012,40119671,42362208,44681521,47072339,49538197,52078520,54698133,57393577,60166405,63017140,65946037,68956746,72045483,75217913,78468613,81800440,85216297,88714854,92297848,95963651,99712145,103549028,107467295,111473580,115567559,119746418,124014392,128368104,132810204,137344505,141966519,146678916,151478967,156375124,161357622,166433915,171601446,176859382,182213050,187656463,193195323,198827213,204554002,210375363,216290827,222302708,228412091,234617556,240916959,247313336,253810758
14,1,48,486,1724,4754,10560,19721,33219,53255,79223,112465,155408,208370,271527,345770,432765,534415,651206,783538,931316,1096525,1279589,1481856,1705040,1949395,2215789,2504153,2815588,3150631,3509880,3894656,4305485,4744076,5210823,5706157,6229955,6784833,7370524,7984843,8632055,9311556,10024497,10768603,11548797,12363181,13213133,14100476,15022321,15983196,16981434,18018542,19093388,20208272,21363232,22558898,23794943,25071811,26390607,27750782,29154269,30600892,32092254,33628187,35209317,36834404,38505649,40222995,41987158,43797126,45659163,47567101,49520099,51523094,53579680,55682214,57836210,60039262,62292471,64597321,66955237,69364092,71825391,74339189,76907423,79526541,82201013,84929271,87712588,90552980,93445556,96395104,99399671,102460900,105577757,108752856,111985770,115274939,118624874,122033567,125499855
15,0,1,20,155,691,1362,3223,5640,9331,15485,22827,32241,44693,61122,80614,103017,129623,161038,198173,241335,289781,344041,404484,471658,546056,628636,720199,820275,929521,1048190,1175798,1312475,1459714,1618096,1787192,1967616,2160218,2365307,2583038,2815021,3059645,3317594,3589656,3876224,4176891,4490956,4821341,5167155,5528962,5906383,6300508,6711744,7140663,7587589,8052026,8534992,9036806,9556769,10096497,10657277,11235461,11833876,12450472,13089549,13749114,14430290,15132186,15856583,16601102,17368552,18157871,18970544,19805765,20665722,21548446,22455001,23387261,24343855,25324738,26330790,27359264,28416640,29498339,30606649,31740425,32902944,34088884,35303629,36544660,37814051,39111418,40435138,41787333,43168002,44577089,46014269,47479787,48975654,50501360,52057204
16,0,0,1,16,31,144,245,752,1209,1852,3402,5145,7093,9695,13471,18650,24361,30674,38003,46996,57811,70699,85678,102208,120234,139909,161732,186451,213971,244645,278579,315827,356218,399585,446158,496370,549728,606613,668058,733551,803520,878024,958363,1043535,1133822,1229220,1329814,1436041,1547490,1664317,1786120,1914426,2048872,2188923,2335800,2488981,2649224,2816008,2989980,3171930,3360973,3557867,3762298,3975092,4195742,4424290,4661151,4905812,5159504,5420986,5692256,5971031,6259504,6555643,6861227,7176055,7501518,7836385,8181102,8534652,8898517,9273248,9657881,10053183,10460835,10877785,11306024,11745997,12196187,12657655,13132051,13618495,14115386,14623951,15144788,15678009,16224893,16783148,17352400,17934993
17,0,0,0,0,1,3,18,33,143,186,240,474,919,1203,1510,2032,3071,4348,5714,7102,8570,10332,12728,15700,19655,23895,28269,33013,38188,43693,50071,57190,65389,74505,84685,96412,108843,122036,136102,150971,166456,182904,200927,219954,240665,262866,286696,312190,339473,368784,400004,432699,467304,502950,540797,580311,621919,665269,710648,756877,805992,857252,910999,967096,1025918,1086687,1150465,1216991,1286513,1359180,1434973,1512906,1594816,1679037,1766064,1855924,1949313,2045320,2144914,2247179,2352430,2460881,2572528,2687702,2807308,2929048,3055213,3184328,3318100,3454722,3595466,3741142,3889610,4042743,4199504,4360918,4527579,4698296,4872809,5051413
18,0,0,0,0,0,0,1,1,1,18,19,21,35,76,175,204,212,268,462,694,1050,1309,1521,1701,1969,2399,3119,4078,5047,6042,7183,8223,9252,10387,11633,13158,14942,17093,19646,22719,26102,29384,32853,36402,40116,44069,48183,52447,56815,62047,67507,73437,80109,87035,94547,102589,111330,120923,131129,141273,152041,163186,174637,186623,198960,211484,224708,238465,253186,267970,283700,300506,318015,336159,355489,375612,396640,418425,441267,465185,490209,516393,543070,570814,599730,629209,659330,690341,722951,756225,790343,825621,861753,899389,937322,976252,1016139,1057134,1099777,1143544
19,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,17,19,20,20,22,37,66,138,192,196,225,231,259,291,391,537,745,936,1232,1427,1522,1664,1869,1975,2118,2396,2735,3195,3881,4557,5364,6033,6758,7618,8478,9170,9975,10704,11609,12411,13385,14167,15401,16736,18155,19772,21578,23598,25951,28447,31127,33746,36231,38981,41635,44389,47391,50149,53127,56341,59560,62888,66299,69408,73385,77601,81814,86200,90959,96066,101429,106862,112746,118796,125117,131783,138765,146301,154342,162401,170829,178979,187454,196514,205540
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,18,20,20,21,21,21,23,23,39,43,72,110,195,214,216,218,247,251,253,259,291,317,351,522,593,669,836,958,1224,1408,1590,1654,1737,1779,1947,2088,2171,2242,2330,2452,2691,2854,3121,3428,3851,4404,4936,5379,5940,6555,7009,7590,8189,8799,9542,10157,10634,11248,11780,12232,12851,13511,14113,14754,15398,16091,16667,17521,18408,19384,20428,21451,22730,23967,25349
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,19,21,21,21,21,22,22,22,22,24,24,24,26,41,43,47,76,80,140,193,219,233,235,237,237,243,270,272,276,276,278,284,312,322,344,370,406,542,616,656,706,846,928,980,1121,1311,1470,1619,1742,1830,1886,1971,1983,2013,2077,2185,2343,2415,2443
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,20,22,22,22,22,22,22,22,23,23,23,23,23,23,25,25,25,25,25,27,40,43,43,45,47,78,80,82,96,136,206,232,238
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
